,rewards
0,-7.127195572323446e-05
1,-0.017232828944598676
2,-1.504437627627984
3,-9.0745089147144
4,-0.19292195958761998
5,-0.09184673187505127
6,-1.7589058253876035
7,-3.336612716523515
8,-2.9660337467910156
9,-0.10640069108490739
10,-2.5654205984875347
11,-6.221835892275876
12,-0.010021345086107991
13,-0.008298625202671168
14,-2.2928480151279826
15,-2.334216915509079
16,19.758997989022987
17,-0.007498878719587934
18,-0.4350123503386184
19,-3.213559519156815
20,-9.744931201982891e-05
21,-0.07668215511900138
22,-1.011962161151485
23,-6.648377511735207
24,19.999912911047204
25,-0.01577386512968318
26,-1.8758981375723838
27,-3.273916092315909
28,-0.14811329313761598
29,-0.0324185048328227
30,-2.5996820057467587
31,-2.4007506044753937
32,-0.0012732672040553425
33,-0.07694661137998264
34,-5.386707619886337
35,-6.21473905756619
36,-0.06639290556628884
37,-0.04251637689723447
38,-0.5712142958520326
39,-6.812933745485651
40,-0.03676082346607006
41,-0.03370685658309898
42,-0.7281235276479812
43,-5.491592218817548
44,-8.38778564022975e-05
45,-0.010214531875542481
46,-1.6664444403945737
47,-5.663345005564776
48,-0.038798690884123174
49,-0.02222113306141408
50,-2.0753903077150877
51,-4.163909778055622
52,-0.001444263984020113
53,-0.01897070130243889
54,-0.6577482637447579
55,-12.288915902382765
56,-0.0008984628622823168
57,-0.030701304922742
58,-0.6376054020425261
59,-1.9378394180196843
60,-0.03430491820887155
61,-0.05094867794709305
62,-0.9010961906514557
63,-5.205573059705996
64,-0.013019632251680211
65,-0.008907355239385432
66,-1.3065850642917796
67,-2.59933872118696
68,-0.0006406976175720059
69,-0.04267768316253844
70,-0.6774492500801345
71,-3.916677856891782
72,-0.01070917227393024
73,-0.016455172812625242
74,-1.0092798969091479
75,-1.9766562535835515
76,-0.00022881645424583464
77,-0.01204977413679214
78,-0.4831452391669404
79,-1.937991919833489
80,-0.0019000797171776066
81,-5.371049368237657
82,-6.346133629736793
83,-0.0018844913531323997
84,-6.086364851681587e-05
85,-0.027541926961382867
86,-0.003451749468281613
87,-0.74141720964437
88,-0.018432591662039567
89,-0.010286864153107195
90,-1.8335336907621183
91,-0.15102913728792372
92,-0.006548562483779793
93,-7.552173425404871e-05
94,-1.349521447067262
95,-7.498703467262295e-05
96,-8.076957637305837e-05
97,-0.004155330757223259
98,-0.25677751090177264
99,-8.883445870859957e-05
100,-0.44719446989128586
101,-0.8466536563419952
102,-0.8883375212402956
103,-0.32770462972780606
104,-3.412904230975716
105,-0.01645221182524416
106,-0.5873543234613805
107,-0.006189564526444186
108,-1.907910198358294
109,-0.0002120591774493413
110,-0.3800202239215778
111,-0.0037741286763860794
112,-0.003990068417475486
113,-0.7997719921092663
114,-0.0002913909607117708
115,-1.9263575858409887
116,-0.003936838014282076
117,-1.5679203661635424
118,-0.0045973997767424475
119,-0.005322569215449243
120,-0.8007239400668323
121,-0.4525867924039083
122,-0.004274122104460128
123,-7.74413456891066e-05
124,-0.00465604481661543
125,-1.5981538966462796
126,-0.008777350305328915
127,-0.0517330543969034
128,-0.3569544299680433
129,-0.004205914165691312
130,-6.745021834066265e-05
131,-0.1601082029710843
132,-0.004112118062881238
133,-1.6838424896677533
134,-0.07552266714858313
135,-0.004807850829782781
136,-0.0036718118563944186
137,-8.101006785848322e-05
138,-0.004184686262193563
139,-0.7812840991395847
140,-0.0036868305341611575
141,-4.698965049514577
142,-0.01917241033528673
143,-0.6296746355967312
144,-0.0033339164812604904
145,-0.003587542917652334
146,-0.16222886538190856
147,-1.8742529691872871
148,-7.847325886276574e-05
149,-7.458494730905375e-05
150,-7.591938603074622e-05
151,-0.7524922499785298
152,-0.1575951148514106
153,-7.472267459610789e-05
154,-4.480358493412821
155,-0.7825388105822566
156,-1.486802990708969
157,-3.5747824885805892
158,-0.8952397699051374
159,-0.7173296708047718
160,-0.000133722653049801
161,-1.2182482323572188
162,-1.9466381395617058
163,-9.789635874780018e-05
164,-7.516580445727433e-05
165,-0.004770883893793604
166,-0.297672053270826
167,-0.00011908128937375552
168,-0.004010898470428331
169,-0.7685055995422673
170,-0.3554836160872633
171,-0.852532900312976
172,-0.08990994624303812
173,-0.003562111589511162
174,-0.003533816441668132
175,-0.005176490155033882
176,-0.5831678885168728
177,-0.0001376674068539191
178,-0.8414804031375981
179,-0.003926373522487839
180,-7.545062663181887e-05
181,-0.003446398888934524
182,-8.396213057857167e-05
183,-0.18323869309290058
184,-0.0041205335504136695
185,-0.798066051727985
186,-1.4869759237297808
187,-1.1590724557253091
188,-0.004718243546303054
189,-0.2928600530209733
190,-8.154355062737378e-05
191,-7.300935963709032e-05
192,-0.16109810809129527
193,-0.31393519562727623
194,-0.8468042125962196
195,-0.2412350802837287
196,-0.35984827084512666
197,-0.99909151524544
198,-0.003276977343741525
199,-0.004798666461626888
